BATT	175	500	RED
ESCOFF	160	457	AMBER
TRACKOFF	300	415	AMBER
SECURITY	185	380	AMBER
TOW	212	355	AMBER
ESCENG	300	460	GREEN
LIGHTS	272	500	GREEN
AUTOHI	337	430	GREEN
SES	340	470	AMBER
AIRBAG	310	500	RED
BRAKE	285	537	RED
ABS	230	535	AMBER
TPMS	178	535	AMBER
HIBEAM	258	357	BLUE
P	945	550	RED
R	975	550	RED
LEFT	455	345	GREEN
CAR	605	355	AMBER
HUMAN	640	355	AMBER
EMPTY	735	315	AMBER
RIGHT	795	355	AMBER
RRFOG	940	460	AMBER
GLOWPLUG	965	515	AMBER
4WD	950	420	GREEN
FRFOG	965	380	GREEN
POWTAKEOFF	1005	375	AMBER
HILL	1045	385	GREEN
LANE	1075	415	AMBER
UREA	1085	453	AMBER
SEATBELT	1075	485	RED
